SNP ID,№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение),Аскохитоз (устойчивость),Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW
VIR0990,990,2016-04-28,8,35,60,25,44,79,94,15,3,7,5,3,7,5,5,9,5,1,5,2,2,41,60,56,50,50,16,21,18,17,25,10.4,14.2,13,12.4,26.1,4.9,9.8,4.3,5.3,10.3,45,36,45,37,80,27,26,56,35,87,2.2,2.1,6.5,3.7,10,7,20,19,20,20,20,8,8,8,9,8,3,10,90
VIR0991,991,2016-04-28,8,36,55,19,42,78,96,18,3,7,3,3,7,5,5,9,5,1,5,2,2,40,40,46,40,40,22,23,20,21,23,11.2,5.7,25.4,10.5,7,5.8,3,9,3.6,3,31,12,87,39,23,23,15,82,37,18,2.7,1.8,10.2,4.5,2.7,7,20,20,20,20,20,9,9,8,8,9,3,10,160
VIR0992,992,2016-04-28,8,38,55,17,40,78,96,18,3,7,5,3,3,7,3,9,5,1,5,2,2,40,35,40,40,40,18,17,17,17,15,13.1,8.9,14.3,10.1,32.1,4.2,2.8,4.9,3.1,11.8,42,28,61,36,75,48,37,56,48,98,4.8,3.6,6.3,4.5,11.2,7,17,19,20,20,20,9,9,10,9,9,3,10,110
VIR0994,994,2016-04-28,8,39,61,22,43,82,98,16,3,7,5,3,7,7,3,9,5,1,5,1,1,53,40,35,40,40,20,18,16,15,20,17.9,12.5,7.9,10,12.5,7.8,4.2,2.6,4.8,4.2,68,53,25,44,44,57,49,19,28,36,6.4,6,2.3,4.3,5.1,7,17,16,17,16,18,8,8,8,7,9,3,10,140
VIR1001,1001,2016-04-28,8,39,55,16,39,78,96,18,3,7,3,3,7,3,7,9,5,1,5,2,1,60,50,54,54,54,16,21,18,18,20,26,20.38,10.5,19.4,19.1,10.5,10.2,3.5,6.8,8.4,64,41,25,37,43,64,32,26,33,43,10.7,5.7,4.3,6.6,6.7,7,18,19,20,19,20,8,8,9,8,9,3,10,175
VIR1002,1002,2016-04-28,8,39,55,16,39,78,96,18,3,7,3,3,7,7,3,9,5,1,5,2,1,42,42,40,45,63,30,27,26,27,36,6.6,4,2.6,4.8,18.1,5.4,3.4,2.3,3.1,8.7,6,7,8,4,28,3,10,1,2,19,0.2,0.9,0.1,0.1,3.9,7,18,20,18,16,17,8,8,8,6,8,3,10,210
VIR1003,1003,2016-04-28,8,39,55,16,39,78,96,18,3,7,3,3,7,7,3,9,5,1,5,2,1,30,42,40,40,36,25,19,22,20,25,3.1,8.1,6.1,5.3,2.2,1.8,3.4,3,4,0.9,8,22,17,6,7,7,22,17,3,11,0.6,2.5,1.7,0.3,1.1,7,17,16,18,15,15,8,8,8,6,6,3,10,120
VIR1005,1005,2016-04-28,8,39,55,16,39,78,96,18,3,7,5,3,7,5,5,7,5,7,5,2,1,40,40,40,37,45,18,23,18,15,16,18.6,5.1,9,12.8,21.9,7.2,2.5,3.3,4.1,7.7,79,21,43,57,80,66,12,29,66,91,6.2,1,2.7,5.7,9,7,17,17,17,17,18,8,7,7,7,8,3,10,105
VIR1007,1007,2016-04-28,8,39,60,21,42,81,99,18,3,7,5,3,7,7,3,9,5,1,5,1,1,32,30,36,30,32,23,20,17,17,14,5.4,5.4,11.8,5.4,8.3,3.2,1.9,4.3,2.2,3.4,16,19,50,18,37,13,20,48,19,25,1.1,1.5,5.1,1.7,1.8,7,15,17,16,15,15,7,8,7,8,8,3,10,120
VIR1008,1008,2016-04-28,8,39,60,21,42,81,95,14,3,7,7,5,7,1,9,7,5,1,5,2,1,70,70,63,65,70,32,33,37,37,38,44.1,20.2,11.8,19.3,8.5,18.3,10,6.8,4.3,3.7,112,38,21,42,16,136,48,22,61,26,18.6,6.6,3.3,8.3,3.6,7,20,20,21,20,17,10,9,10,10,9,3,10,155
